playerid,dates,handle,ggr,last_12months_segment,Target_CG,bonus
1230877,11/24/2019,1104750,-49000,high,Target,20
1230877,11/26/2019,596214,-30336,high,Target,20
1230877,11/13/2019,465250,-36000,high,Target,20
1230877,11/1/2019,437800,-20000,high,Target,20
1276799,2/24/2019,435275,69825,vip,Target,50
1230877,11/14/2019,355835,18335,high,Target,20
1230877,11/25/2019,347612,-22812,high,Target,20
1230877,10/14/2019,322050,19500,high,Target,20
1230877,10/31/2019,238785,-36481,high,Target,20
1368045,12/1/2019,172952,-5329.5,high,Target,20
1232188,1/27/2020,165101,-4186,vip,Target,50
1343991,12/3/2019,164026.5,2018.5,vip,Target,50
1230877,10/11/2019,163175,-17000,high,Target,20
1303501,1/14/2020,145088.25,-334.65,medium,Target,10
1158039,7/21/2019,138552.3,-239.68,vip,Target,50
1232188,1/29/2020,138330,6980,vip,Target,50
1230877,10/12/2019,136500,-9500,high,Target,20
1232188,8/10/2019,133595,-915,vip,Target,50
1276799,2/20/2019,132054,436,vip,Target,50
1232188,1/28/2020,128020,-19120,vip,Target,50
1230877,12/5/2019,124650,4000,high,Target,20
1300957,8/18/2019,117245,5509,high,Target,20
1232188,2/9/2019,115408,7312,vip,Target,50
1230877,10/5/2019,106125,14275,high,Target,20
1230877,12/2/2019,103600,-7500,high,Target,20
1230877,11/23/2019,103125,-10000,high,Target,20
1343991,12/11/2019,94378,1729,vip,Target,50
1230877,11/4/2019,90163,-4851,high,Target,20
1292808,6/14/2019,89854,-8146,medium,Target,10
1230877,10/10/2019,89175,-21100,high,Target,20
1230877,3/5/2019,81205,40,high,Target,20
1232188,11/27/2019,75000,2090,vip,Target,50
1230877,10/13/2019,74700,-12000,high,Target,20
1230877,3/17/2019,67279,5750,high,Target,20
1165513,11/10/2019,65884.37,10.82,vip,Target,50
1303501,2/4/2020,62958.5,-6239,medium,Target,10
1230877,11/3/2019,60900,-1000,high,Target,20
1276799,2/21/2019,59212,-2243,vip,Target,50
1276799,2/25/2019,58565,27287,vip,Target,50
1230877,11/15/2019,55000,19000,high,Target,20
1230877,10/3/2019,54725,-6075,high,Target,20
1158039,7/24/2019,53635.8,-4221.09,vip,Target,50
1158039,7/20/2019,52579.5,1503.05,vip,Target,50
1232188,2/8/2019,51690,-4800,vip,Target,50
1261999,5/12/2019,50911.05,1397,low,Target,5
1230877,12/3/2019,46685,14155,high,Target,20
1237560,3/29/2019,46292.8,974.32,vip,Control Group,0
1210671,2/28/2019,45346,167,medium,Target,10
1237560,3/22/2019,45307,-1848.51,vip,Control Group,0
1368045,12/3/2019,44066,578,high,Target,20
1230877,11/18/2019,43600,4000,high,Target,20
1230877,10/27/2019,43200,6000,high,Target,20
1230877,3/16/2019,43110,-1900,high,Target,20
1232188,12/6/2019,42015,8225,vip,Target,50
1368045,11/29/2019,40851.5,21.5,high,Target,20
1368045,11/30/2019,39818.5,327,high,Target,20
1165513,9/29/2019,39138,-66.1,vip,Target,50
1230877,11/6/2019,39000,1930,high,Target,20
1449372,12/24/2019,38761.68,1515.73,vip,Target,50
1232188,12/5/2019,38630.5,-7064.75,vip,Target,50
1230877,12/7/2019,38228,4686,high,Target,20
1237560,3/31/2019,37832.4,-1490.88,vip,Control Group,0
1164847,12/6/2019,36971.9,-3913.27,high,Target,20
1165513,11/9/2019,36357.75,-2493.2,vip,Target,50
1230877,9/28/2019,36142,10442,high,Target,20
1263148,5/22/2019,35634.7,-7724.31,vip,Target,50
1227302,1/22/2019,35416.82,2677.88,vip,Target,50
1237560,3/24/2019,35370,2759.13,vip,Control Group,0
1324826,11/15/2019,35340,167.5,medium,Control Group,0
1303501,1/15/2020,35094.38,1826.98,medium,Target,10
1165513,12/15/2019,35087.5,1593.9,vip,Target,50
1232188,11/21/2019,34718,1765,vip,Target,50
1232188,5/8/2019,33480,-4066,vip,Target,50
1158039,8/16/2019,33411.5,3421.2,vip,Target,50
1230877,10/23/2019,33200,10000,high,Target,20
